sex,age,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,internet,freetime,health,absences,graduated
F,18,mother,2,2,0,yes,no,no,no,3,3,6,no
F,17,father,1,2,0,no,yes,no,yes,3,3,4,no
F,15,mother,1,2,3,yes,no,yes,yes,3,3,10,yes
F,15,mother,1,3,0,no,yes,yes,yes,2,5,2,yes
F,16,father,1,2,0,no,yes,yes,no,3,5,4,yes
M,16,mother,1,2,0,no,yes,yes,yes,4,5,10,yes
M,16,mother,1,2,0,no,no,no,yes,4,3,0,yes
F,17,mother,2,2,0,yes,yes,no,no,1,1,6,no
M,15,mother,1,2,0,no,yes,yes,yes,2,1,0,yes
M,15,mother,1,2,0,no,yes,yes,yes,5,5,0,yes
F,15,mother,1,2,0,no,yes,yes,yes,3,2,0,no
F,15,father,3,3,0,no,yes,no,yes,2,4,4,yes
M,15,father,1,1,0,no,yes,yes,yes,3,5,2,yes
M,15,mother,2,2,0,no,yes,yes,yes,4,3,2,yes
M,15,other,1,3,0,no,yes,no,yes,5,3,0,yes
F,16,mother,1,1,0,no,yes,no,yes,4,2,4,yes
F,16,mother,1,3,0,no,yes,yes,yes,2,2,6,yes
F,16,mother,3,2,0,yes,yes,no,no,3,4,4,yes
M,17,mother,1,1,3,no,yes,no,yes,5,5,16,no
M,16,father,1,1,0,no,no,yes,yes,1,5,4,yes
M,15,mother,1,2,0,no,no,no,yes,4,1,0,yes
M,15,father,1,1,0,no,yes,yes,yes,4,5,0,yes
M,16,mother,1,2,0,no,no,no,yes,5,5,2,yes
M,16,mother,2,2,0,no,yes,no,yes,4,5,0,yes
F,15,mother,1,3,0,yes,yes,yes,yes,3,5,2,no
F,16,mother,1,1,2,no,yes,yes,yes,2,5,14,no
M,15,mother,1,1,0,no,yes,yes,yes,2,5,2,yes
M,15,mother,1,1,0,no,no,yes,yes,2,1,4,yes
M,16,mother,1,2,0,yes,yes,no,yes,3,5,4,yes
M,16,mother,1,2,0,no,yes,yes,yes,4,5,16,yes
M,15,mother,1,2,0,no,yes,yes,yes,4,5,0,yes
M,15,mother,2,2,0,no,yes,no,yes,3,5,0,yes
M,15,mother,1,2,0,no,yes,no,yes,5,5,0,yes
M,15,mother,1,2,0,no,no,no,yes,3,2,0,yes
M,16,mother,1,1,0,no,yes,yes,yes,4,5,0,yes
F,15,father,2,1,0,no,yes,no,no,5,5,0,no
M,15,mother,1,3,0,no,yes,no,yes,4,4,2,yes
M,16,mother,2,3,0,no,yes,no,yes,4,5,7,yes
F,15,mother,1,3,0,yes,yes,yes,yes,3,5,2,yes
F,15,mother,1,1,0,yes,yes,yes,no,3,2,8,yes
F,16,mother,2,2,1,no,yes,no,yes,3,3,25,yes
M,15,other,1,1,0,no,yes,no,yes,4,5,8,yes
M,15,father,1,2,0,no,yes,no,yes,3,5,2,yes
M,15,father,1,1,0,yes,yes,no,yes,4,1,0,yes
F,16,father,2,2,1,yes,no,no,yes,3,5,14,no
F,15,mother,1,2,0,yes,yes,yes,yes,2,5,8,no
F,16,mother,1,2,0,no,yes,no,yes,3,3,12,yes
